"Supplied Name","guid","scientificName","family","kingdom","vernacular name","Grouping","Synonym  Common  Name","VBA taxon  I D","Synonym  Name","VIC  Advisory  Status","Authority","Taxon Type","Restricted  Flag","Primary  Discipline","FFG  Act  Status","Version  Date","category","NVIS  Growth  Form"
"Pseudocloeon hypodelum","urn:lsid:biodiversity.org.au:afd.taxon:3fabe575-402f-47ed-b1af-a1c8f2e75428","Pseudocloeon hypodelum","Baetidae",,"Mayfly",,"Mayfly","75211","Pseudocloeon Pseudocloeon hypodelum","Vulnerable","Lugo-Ortiz, McCafferty & Waltz, 1999","Invertebrates","restricted","Terrestrial fauna","In Review","2020-09-09","IR",
"Pseudemoia rawlinsoni","urn:lsid:biodiversity.org.au:afd.taxon:e8b0a2a3-b85b-4201-a671-1d4038e6b7ed","Pseudemoia rawlinsoni","Scincidae",,"Glossy Grass Skink",,"Glossy Grass Skink","12683","Pseudemoia rawlinsoni","Vulnerable",,"Reptiles","restricted","Terrestrial fauna","In Review","2020-09-09","IR",
"Prasophyllum suaveolens","https://id.biodiversity.org.au/node/apni/2899901","Prasophyllum suaveolens","Orchidaceae",,"Fragrant Leek-orchid",,"Fragrant Leek-orchid, Sweet Leek Orchid, Basalt Plain Leek-orchid","504567","Prasophyllum suaveolens, Prasophyllum fuscum p.p., Prasophyllum sp. aff. fuscum (Basalt Plains)","Endangered","D.L. Jones & R.J. Bates","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Ramiheithrus virgatus","urn:lsid:biodiversity.org.au:afd.taxon:2d55377c-cdd7-413b-899d-2bfbb2d6c665","Ramiheithrus virgatus","Philorheithridae",,"Caddisfly",,,"3058",,"Vulnerable","Neboiss, 1974","Invertebrates","restricted","Aquatic invertebrates","In Review","2020-09-09","IR",
"Liopholis guthega","urn:lsid:biodiversity.org.au:afd.taxon:740f5037-a04b-46c1-9113-894a159dacd3","Liopholis guthega","Scincidae",,"Guthega Skink",,"Alpine Egernia, Guthega Skink","12432","Egernia guthega","Critically endangered",,"Reptiles","restricted","Terrestrial fauna","Listed","2020-09-09","L",
"Galaxias lanceolatus","urn:lsid:biodiversity.org.au:afd.taxon:bedc6085-4580-4c8a-bdda-27ba84837819","Galaxias lanceolatus","Galaxiidae",,"Tapered Galaxias",,"Tapered Galaxias, Mountain Galaxias, Stoney Galaxias","528525","Galaxias sp. 15, Galaxias sp. 8 (Stoney), Galaxias sp. 8, Galaxias olidus","Critically endangered","Raadik, 2014","Fish","restricted","Aquatic fauna","Listed","2020-09-09","L",
"Caladenia pilotensis","https://id.biodiversity.org.au/name/apni/175169","Caladenia pilotensis","Orchidaceae",,"Mount Pilot Spider-orchid",,"Mount Pilot Spider Orchid, Mt Pilot Spider-orchid","505501","Arachnorchis pilotensis, Caladenia pilotensis","Endangered","D.L. Jones","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Engaeus strictifrons","urn:lsid:biodiversity.org.au:afd.taxon:d8599b79-51b0-421c-9065-072aa6d7e2a6","Engaeus strictifrons","Parastacidae",,"Portland Burrowing Crayfish",,,"1690","Pseudoengaeus strictifrons","Vulnerable","(Clark, 1936)","Mussels, decopod crustacea","restricted","Aquatic fauna","In Review","2020-09-09","IR",
"Hyridella glenelgensis","urn:lsid:biodiversity.org.au:afd.taxon:316e9e64-7e12-4c4a-98a3-6d201260c70b","Hyridella (Protohyridella) glenelgensis","Hyriidae",,"Glenelg Freshwater Mussel",,"Glenelg Freshwater Mussel, Glenelg Mussel","621","Protohyridella glenelgensis, Hyridella (Protohyridella) glenelgensis, Hyridella glenelgensis, Diplodon (Hyridella) glenelgensis, Unio glenelgensis","Critically endangered","(Dennant, 1898)","Mussels, decopod crustacea","restricted","Aquatic invertebrates","Listed","2020-09-09","L",
"Leptoperla kallistae","urn:lsid:biodiversity.org.au:afd.taxon:7129a62a-3f07-405d-b06e-737afc3024e0","Leptoperla kallistae","Gripopterygidae",,"Kallista Flightless Stonefly",,,"2455",,"Critically endangered","Hynes 1974","Invertebrates","restricted","Aquatic invertebrates","Listed","2020-09-09","L",
"Galaxias terenasus","urn:lsid:biodiversity.org.au:afd.taxon:c2bcc474-938b-4a02-aeaf-59f22483ff7c","Galaxias terenasus","Galaxiidae",,"Roundsnout Galaxias",,"Genoa Galaxias, Mountain Galaxias","528520","Galaxias sp. 3, Galaxias olidus, Galaxias sp. 3 (Genoa)","Endangered","Raadik, 2014","Fish","restricted","Aquatic fauna","Listed","2020-09-09","L",
"Gaultheria hispida","https://id.biodiversity.org.au/node/apni/2898978","Gaultheria hispida","Ericaceae",,"Snow-berry",,"Waxberry, Tasmanian Waxberry, Tasmanian Snowberry, Snow Berry, Snow-berry","504434","Gaultheria hispida","Endangered","R. Br.","Dicotyledons","restricted","Flora","Listed","2020-09-09","L","Shrub"
"Gariwerdeus turretensis","urn:lsid:biodiversity.org.au:afd.taxon:2062746c-4bf4-4b4e-9fec-f42128d17f15","Gariwerdeus turretensis","Phreatoicidae",,"freshwater isopod",,,"75165",,"Vulnerable","Wilson & Keable, 2002","Invertebrates","restricted","Aquatic invertebrates","In Review","2020-09-09","IR",
"Caladenia robinsonii","https://id.biodiversity.org.au/node/apni/2903327","Caladenia robinsonii","Orchidaceae",,"Frankston Spider-orchid",,"Frankston Spider-orchid, Frankston Spider Orchid","500586","Caladenia reticulata p.p., Arachnorchis robinsonii, Caladenia sp. aff. reticulata, Caladenia robinsonii, Caladenia reticulata, Caladenia sp. aff. reticulata (Frankston)","Endangered","G.W. Carr","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Pedionomus torquatus","urn:lsid:biodiversity.org.au:afd.taxon:bc6f97c7-b94a-4622-8f13-bd063c02ff41","Pedionomus torquatus","Pedionomidae",,"Plains-wanderer",,,"10020",,"Critically endangered",,"Other Non-passerine birds","restricted","Terrestrial fauna","Listed","2020-09-09","L",
"Engaeus sericatus","urn:lsid:biodiversity.org.au:afd.taxon:6a74b4ac-4fd4-4ccb-a83f-985494ab0ee4","Engaeus sericatus","Parastacidae",,"Hairy Burrowing Crayfish",,,"1692",,"Vulnerable","Clark, 1936","Mussels, decopod crustacea","restricted","Aquatic fauna","In Review","2020-09-09","IR",
