"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status code","status"
"Melaleuca fissurata","https://id.biodiversity.org.au/node/apni/2913098","Melaleuca fissurata","Myrtaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Caladenia bigeminata","https://id.biodiversity.org.au/name/apni/3876385","Caladenia bigeminata","Orchidaceae",,,"P1","Priority 1: Poorly-known species"
"Melaleuca boeophylla","https://id.biodiversity.org.au/node/apni/2897672","Melaleuca boeophylla","Myrtaceae",,,"P2","Priority 2: Poorly-known species"
"Adenanthos filifolius","https://id.biodiversity.org.au/node/apni/2892548","Adenanthos filifolius","Proteaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Lepturus xerophilus","https://id.biodiversity.org.au/node/apni/2900815","Lepturus xerophilus","Poaceae",,,"P1","Priority 1: Poorly-known species"
"Gonocarpus intricatus","https://id.biodiversity.org.au/node/apni/2916911","Gonocarpus intricatus","Haloragaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Conospermum coerulescens subsp. coerulescens","https://id.biodiversity.org.au/node/apni/2913004","Conospermum coerulescens subsp. coerulescens","Proteaceae",,,"P1","Priority 1: Poorly-known species"
"Caesia talingka","https://id.biodiversity.org.au/name/apni/50620826","Caesia talingka MS","Hemerocallidaceae",,,"P2","Priority 2: Poorly-known species"
"Enekbatus cristatus","https://id.biodiversity.org.au/node/apni/2919964","Enekbatus cristatus","Myrtaceae",,,"P2","Priority 2: Poorly-known species"
"Cullen candidum","https://id.biodiversity.org.au/node/apni/2912388","Cullen candidum","Fabaceae",,,"P1","Priority 1: Poorly-known species"
"Conostylis dielsii subsp. teres","https://id.biodiversity.org.au/node/apni/6288432","Conostylis dielsii subsp. teres","Haemodoraceae",,,"VU","Vulnerable"
"Stenanthemum pumilum subsp. pumilum","https://id.biodiversity.org.au/node/apni/2917397","Stenanthemum pumilum subsp. pumilum","Rhamnaceae",,,"P3","Priority 3: Poorly-known species"
"Acacia muriculata","https://id.biodiversity.org.au/node/apni/2888399","Acacia muriculata","Fabaceae",,,"P1","Priority 1: Poorly-known species"
"Epitriche demissus","https://id.biodiversity.org.au/node/apni/2886360","Epitriche demissus","Asteraceae",,,"P2","Priority 2: Poorly-known species"
"Calectasia pignattiana","https://id.biodiversity.org.au/node/apni/2895461","Calectasia pignattiana","Dasypogonaceae",,,"VU","Vulnerable"
"Deyeuxia inaequalis","https://id.biodiversity.org.au/node/apni/2907584","Deyeuxia inaequalis","Poaceae",,,"P1","Priority 1: Poorly-known species"
"Eucalyptus fitzgeraldii","https://id.biodiversity.org.au/node/apni/2921239","Eucalyptus fitzgeraldii","Myrtaceae",,,"P2","Priority 2: Poorly-known species"
"Stirlingia divaricatissima","https://id.biodiversity.org.au/node/apni/2899176","Stirlingia divaricatissima","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Jacquemontia sp. Karunji (D. Halford H37)","https://id.biodiversity.org.au/node/apni/2904617","Jacquemontia sp. Karunji (D.Halford H37)","Convolvulaceae",,,"P1","Priority 1: Poorly-known species"
"Boronia ramosa subsp. lesueurana","https://id.biodiversity.org.au/node/apni/2916259","Boronia ramosa subsp. lesueurana","Rutaceae",,,"P2","Priority 2: Poorly-known species"
"Darwinia nubigena","https://id.biodiversity.org.au/node/apni/2901514","Darwinia nubigena","Myrtaceae",,,"EN","Endangered"
"Erymophyllum hemisphaericum","https://id.biodiversity.org.au/node/apni/2903507","Erymophyllum hemisphaericum","Asteraceae",,,"P1","Priority 1: Poorly-known species"
"Homalocalyx echinulatus","https://id.biodiversity.org.au/node/apni/2904232","Homalocalyx echinulatus","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Acacia lobulata","https://id.biodiversity.org.au/node/apni/2888889","Acacia lobulata","Fabaceae",,,"EN","Endangered"
"Minuria tridens","https://id.biodiversity.org.au/node/apni/2893755","Minuria tridens","Asteraceae",,,"P1","Priority 1: Poorly-known species"
"Ptilotus mitchellii","https://id.biodiversity.org.au/node/apni/2909147","Ptilotus mitchellii","Amaranthaceae",,,"P1","Priority 1: Poorly-known species"
"Gastrolobium appressum","https://id.biodiversity.org.au/node/apni/2887813","Gastrolobium appressum","Fabaceae",,,"EN","Endangered"
"Eremophila ternifolia","https://id.biodiversity.org.au/node/apni/2893305","Eremophila ternifolia","Scrophulariaceae",,,"VU","Vulnerable"
"Drosera marchantii subsp. prophylla","https://id.biodiversity.org.au/taxon/apni/51283635","Drosera prophylla","Droseraceae",,,"P3","Priority 3: Poorly-known species"
