"Supplied Name","guid","scientificName","family","kingdom","Taxon Id","Kingdom2","Class","Family2","scientificNameAuthorship","vernacular name"
"Argynnis hyperbius inconstans","urn:lsid:biodiversity.org.au:afd.taxon:b951b043-37e0-4604-b84f-ee7ec4ae9efb","Argynnis hyperbius inconstans","Nymphalidae",,"2008","animals","insects","Nymphalidae","Butler, 1873","Australian fritillary"
"Aponogeton vanbruggenii","https://id.biodiversity.org.au/taxon/apni/51266809","Aponogeton vanbruggenii","Aponogetonaceae",,"21847","plants","Equisetopsida","Aponogetonaceae","Hellq. & S.W.L.Jacobs",
"Arthrochilus prolixus","https://id.biodiversity.org.au/name/apni/117340","Arthrochilus prolixus","Orchidaceae",,"8527","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Dendrobium chalmersii","ALA_Dendrobium_chalmersii","Dendrobium chalmersii",,,"37192","plants","Equisetopsida","Orchidaceae","F.Muell.",
"Goodyera","https://id.biodiversity.org.au/node/apni/2900650","Goodyera","Orchidaceae",,"20788","plants","Equisetopsida","Orchidaceae",,
"Robiquetia rectifolia","https://id.biodiversity.org.au/name/apni/59793","Robiquetia rectifolia","Orchidaceae",,"39918","plants","Equisetopsida","Orchidaceae",,
"Saccolabiopsis rectifolia","https://id.biodiversity.org.au/name/apni/102546","Saccolabiopsis rectifolia","Orchidaceae",,"9835","plants","Equisetopsida","Orchidaceae","(Dockrill) Garay",
"Acriopsis emarginata","https://id.biodiversity.org.au/name/apni/206419","Acriopsis emarginata","Orchidaceae",,"31909","plants","Equisetopsida","Orchidaceae","D.L.Jones & M.A.Clem.","pale chandelier orchid"
"Eriochilus petricola","https://id.biodiversity.org.au/name/apni/189020","Eriochilus petricola","Orchidaceae",,"30804","plants","Equisetopsida","Orchidaceae","D.L.Jones & M.A.Clem.",
"Spiranthes","https://id.biodiversity.org.au/taxon/apni/51291018","Spiranthes","Orchidaceae",,"21534","plants","Equisetopsida","Orchidaceae",,
"Phyllurus isis","urn:lsid:biodiversity.org.au:afd.taxon:a3242881-0a51-4536-98fb-c0df8129c1da","Phyllurus isis","Carphodactylidae",,"380","animals","reptiles","Carphodactylidae","Couper, Covaevich & Moritz, 1993","Mount Jukes broad-tailed gecko"
