"Supplied Name","guid","scientificName","family","kingdom","family2","genus","order","taxonRank","class"
"Ranunculus haastii Hook.f.","NZOR-6-115030","Ranunculus haastii","Ranunculaceae",,"Ranunculaceae","Ranunculus","Ranunculales","species","Magnoliopsida"
"Helichrysum dimorphum Cockayne","NZOR-6-9888","Helichrysum dimorphum","Asteraceae",,"Compositae","Helichrysum","Asterales","species","Magnoliopsida"
"Sonchus asper var. littoralis (Kirk) Kirk","https://id.biodiversity.org.au/node/apni/2912188","Actites megalocarpus","Asteraceae",,"Compositae","Sonchus","Asterales","variety","Magnoliopsida"
"Olearia traversii (F.Muell.) Hook.f.","NZOR-6-40571","Olearia traversiorum","Asteraceae",,"Compositae","Olearia","Asterales","species","Magnoliopsida"
"Pterostylis furcata var. micromega Hatch","https://id.biodiversity.org.au/name/apni/139871","Pterostylis furcata var. micromega","Orchidaceae",,"Orchidaceae","Pterostylis","Asparagales","variety","Magnoliopsida"
"Passerina pilosa sensu G.Forst.","NZOR-6-21866","Pimelea tomentosa","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","species","Magnoliopsida"
"Pterostylis puberula Hook.f.","https://id.biodiversity.org.au/name/apni/179294","Pterostylis puberula","Orchidaceae",,"Orchidaceae","Pterostylis","Asparagales","species","Magnoliopsida"
"Sonchus littoralis (Kirk) Allan","NZOR-6-3088","Sonchus kirkii","Asteraceae",,"Compositae","Sonchus","Asterales","species","Magnoliopsida"
"Exarrhena colensoi Kirk","NZOR-6-17965","Myosotis colensoi","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Juncus pauciflorus var. gunnii (Hook.f.) Buchenau","https://id.biodiversity.org.au/node/apni/2887979","Juncus pauciflorus","Juncaceae",,"Juncaceae","Juncus","Poales","variety","Magnoliopsida"
"Senecio sterquilinus Ornduff","NZOR-6-5141","Senecio sterquilinus","Asteraceae",,"Compositae","Senecio","Asterales","species","Magnoliopsida"
"Pellaea falcata (R.Br.) Fée","https://id.biodiversity.org.au/node/apni/2915450","Pellaea falcata","Pteridaceae",,"Pteridaceae","Pellaea","Polypodiales","species","Polypodiopsida"
"Lepidium castellanum de Lange & Heenan","NZOR-6-135955","Lepidium castellanum","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Spiranthes novae-zelandiae Hook.f.","https://id.biodiversity.org.au/name/apni/236946","Spiranthes novae-zelandiae","Orchidaceae",,"Orchidaceae","Spiranthes","Asparagales","species","Magnoliopsida"
"Sideroxylon novo-zelandicum (F.Muell.) Hemsl.","https://id.biodiversity.org.au/node/apni/2900808","Planchonella costata","Sapotaceae",,"Sapotaceae","Planchonella","Ericales","species","Magnoliopsida"
