"Supplied Name","guid","scientificName","family","kingdom","vernacular name","family","TSC Status","TSC Status Description","taxonRemarks","Reason","category","generalisation"
"Angophora exul K.D. Hill ","https://id.biodiversity.org.au/node/apni/2913071","Angophora bakeri subsp. bakeri","Myrtaceae",,"Gibraltar Rock Apple","Myrtaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Corunastylis sp. Charmhaven (NSW896673)","ALA_Corunastylis_sp_Charmhaven_NSW896673","Corunastylis sp. Charmhaven (NSW896673)",,,,"Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Nurus atlas","urn:lsid:biodiversity.org.au:afd.taxon:62fbc3a0-a018-4c99-a2e6-2c5b57522dfa","Nurus atlas","Carabidae",,"Atlas Rainforest Ground-beetle","Carabidae","E1","Endangered",,"Risk of collection and disturbance","3","1km"
"Genoplesium vernale D.L.Jones ","https://id.biodiversity.org.au/node/apni/2911430","Genoplesium vernale","Orchidaceae",,"East Lynne Midge Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Pultenaea sp. Olinda (R.G. Coveny 6616) ","ALA_Pultenaea_sp_Olinda_R_G_Coveny_6616","Pultenaea sp. Olinda (R.G. Coveny 6616)",,,,"Fabaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Genoplesium baueri R. Br.","https://id.biodiversity.org.au/name/apni/66142","Genoplesium baueri","Orchidaceae",,"Bauer's Midge Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Acacia dangarensis Tindale & Kodela","https://id.biodiversity.org.au/node/apni/2915433","Acacia dangarensis","Fabaceae",,,"Fabaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Pterostylis pulchella Messmer ","https://id.biodiversity.org.au/node/apni/2920806","Pterostylis pulchella","Orchidaceae",,"Waterfall Greenhood","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Phaius australis F. Muell.","https://id.biodiversity.org.au/node/apni/2910902","Phaius australis","Orchidaceae",,"Southern Swamp Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Hoplocephalus bungaroides","urn:lsid:biodiversity.org.au:afd.taxon:83b5c16a-3111-4fe7-a7df-93d7ce06f794","Hoplocephalus bungaroides","Elapidae",,,"Elapidae","E1","Endangered",,"Risk of collection","2","10km"
"Platyzoma microphyllum R. Br. ","https://id.biodiversity.org.au/node/apni/2916514","Platyzoma microphyllum","Pteridaceae",,"Braid Fern","Platyzomataceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Diuris flavescens D.L. Jones ","https://id.biodiversity.org.au/name/apni/117438","Diuris flavescens","Orchidaceae",,"Pale Yellow Doubletail","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Prostanthera marifolia R. Br.","https://id.biodiversity.org.au/node/apni/2897722","Prostanthera marifolia","Lamiaceae",,"Seaforth Mintbush","Lamiaceae","E4A","Critically Endangered",,"Risk of disturbance","3","1km"
"Trachymene scapigera (Domin) B.L.Burtt ","https://id.biodiversity.org.au/node/apni/2903508","Trachymene scapigera","Araliaceae",,"Mountain Trachymene","Apiaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Calochilus pulchellus D.L.Jones","https://id.biodiversity.org.au/name/apni/205215","Calochilus pulchellus","Orchidaceae",,"Pretty Beard Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
