"Supplied Name","guid","scientificName","family","kingdom","Grouping","SPECIESTYPE","NSXCODE","vernacular name","Clarifier","Threaten a species/environment;","Reason","Threaten someones privacy;"
"Calocephalus lacteus","https://id.biodiversity.org.au/node/apni/2888928","Calocephalus lacteus","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","E02994",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Swainsona behriana","https://id.biodiversity.org.au/node/apni/2915191","Swainsona behriana","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Q05320","Behr's Swainson-pea","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Prasophyllum pallidum","https://id.biodiversity.org.au/node/apni/2898209","Prasophyllum pallidum","Orchidaceae",,"Orchids","P","Z00827","Pale Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Santalum spicatum","https://id.biodiversity.org.au/node/apni/2907960","Santalum spicatum","Santalaceae",,"Santalum","P","C00953","Sandalwood","Grid references, lats and longs, detailed location descriptions","y","Santalum spicatum is listed as Vulnerable under the SA NP&W Act and is at risk of illegal collection. The aromatic oils in the wood is highly valued by illegal traders supplying an export market. Denaturing spatial data will make wild populations more difficult to locate. Santalum lanceolatum is not listed under the EPBC Act or NPW Act, but it also produces aromatic oils and is sometimes confused with S. spicatum.",
"Thysanotus tuberosus ssp. tuberosus","https://id.biodiversity.org.au/node/apni/2889586","Thysanotus tuberosus subsp. tuberosus","Asparagaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Q04716","Tuber Fringe-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Todea barbara","https://id.biodiversity.org.au/node/apni/2916843","Todea barbara","Osmundaceae",,"Ferns & Allies","P","M00030","King Fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Lobelia beaugleholei","https://id.biodiversity.org.au/node/apni/2912125","Lobelia beaugleholei","Campanulaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","E02846",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia argocalla","https://id.biodiversity.org.au/node/apni/2898227","Caladenia argocalla","Orchidaceae",,"Orchids","P","U05146","White Beauty Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis xerophila","https://id.biodiversity.org.au/node/apni/2891414","Pterostylis xerophila","Orchidaceae",,"Orchids","P","K04413","Desert Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Dicksonia antarctica","https://id.biodiversity.org.au/node/apni/2914933","Dicksonia antarctica","Dicksoniaceae",,"Ferns & Allies","P","U00034","Soft Tree-fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Thelymitra circumsepta","https://id.biodiversity.org.au/name/apni/97061","Thelymitra circumsepta","Orchidaceae",,"Orchids","P","E04138","Naked Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia intuta","https://id.biodiversity.org.au/node/apni/2893255","Caladenia intuta","Orchidaceae",,"Orchids","P","C06265","Ghost Spider Orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Leptorhynchos melanocarpus","https://id.biodiversity.org.au/node/apni/2897444","Leptorhynchos melanocarpus","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","S05701","Lake Acraman Button-daisy","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Corybas expansus","https://id.biodiversity.org.au/name/apni/117405","Corybas expansus","Orchidaceae",,"Orchids","P","S04389","Dune Helmet-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Lastreopsis acuminata","https://id.biodiversity.org.au/taxon/apni/51283673","Lastreopsis acuminata","Dryopteridaceae",,"Ferns & Allies","P","E00046","Shiny Shield-fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia conferta","https://id.biodiversity.org.au/taxon/apni/51290491","Caladenia conferta","Orchidaceae",,"Orchids","P","Q05160","Coast Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Lycopodiella serpentina","https://id.biodiversity.org.au/node/apni/2905113","Lycopodiella serpentina","Lycopodiaceae",,"Aquatics","P","K00021","Bog Clubmoss","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Pterostylis parviflora","https://id.biodiversity.org.au/taxon/apni/51290647","Pterostylis corpulenta","Orchidaceae",,"Orchids","P","W30079","Tiny Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelymitra epipactoides","https://id.biodiversity.org.au/node/apni/2909701","Thelymitra epipactoides","Orchidaceae",,"Orchids","P","Q00860","Metallic Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
